id_venta,fecha,tienda_id,region,categoria,producto_id,cantidad,precio_unitario,descuento_pct,monto,metodo_pago,cliente_id
284405,2026-02-20,14,Sur,Juguetes,1090,9,765.69,0,6891.21,Efectivo,8619
284406,2026-09-21,36,Norte,Moda,2341,4,261.94,10,942.98,Efectivo,20495
284407,2024-08-30,6,Centro,Deportes,4728,3,398.73,10,1076.57,Efectivo,17411
284408,2026-12-18,7,Norte,Deportes,57,8,72.05,5,547.58,Efectivo,87978
284409,2025-08-24,23,Sur,Juguetes,4756,3,582.22,0,1746.66,Tarjeta,28179
284410,2025-02-04,31,Centro,Electronica,3900,7,1716.68,10,10815.08,Online,47324
284411,2024-01-02,9,Centro,Moda,1774,6,125.71,0,754.26,Efectivo,12757
284412,2024-01-29,36,Sur,Moda,2176,6,274.13,15,1398.06,Online,17
284413,2025-08-02,19,Centro,Hogar,24,1,1980.26,5,1881.25,Tarjeta,4599
284414,2026-07-08,29,Norte,Juguetes,1992,6,313.08,15,1596.71,Online,6750
284415,2026-12-16,38,Sur,Moda,3926,10,1332.19,15,11323.62,Tarjeta,42727
284416,2025-09-23,32,Centro,Electronica,4196,2,1838.66,5,3493.45,Efectivo,67300
284417,2024-03-16,26,Sur,Electronica,3390,8,1806.41,0,14451.28,Tarjeta,85353
284418,2026-04-07,47,Norte,Moda,575,3,299.03,0,897.09,Efectivo,51391
284419,2025-07-30,13,Norte,Electronica,1896,7,1308.88,0,9162.16,Online,20843
284420,2025-12-22,48,Sur,Electronica,2165,7,1834.71,15,10916.52,Tarjeta,55216
284421,2026-09-18,2,Sur,Juguetes,4542,8,1094.67,15,7443.76,Tarjeta,772
284422,2025-06-17,1,Centro,Juguetes,713,6,1612.25,5,9189.82,Efectivo,89982
284423,2026-04-26,50,Sur,Electronica,4008,8,1255.21,5,9539.6,Efectivo,93193
284424,2024-09-12,12,Norte,Electronica,2598,6,138.72,15,707.47,Online,48894
284425,2024-07-17,13,Centro,Electronica,1260,4,1809.57,5,6876.37,Efectivo,56533
284426,2026-05-16,22,Norte,Moda,3283,10,456.18,15,3877.53,Tarjeta,48876
284427,2024-12-11,39,Norte,Hogar,1279,1,1228.35,0,1228.35,Efectivo,98517
284428,2024-04-23,42,Sur,Moda,2330,6,680.16,5,3876.91,Tarjeta,28822
284429,2026-11-18,1,Norte,Deportes,556,1,1098.48,15,933.71,Efectivo,47928
284430,2025-05-11,14,Centro,Hogar,2969,5,104.7,5,497.32,Online,39394
284431,2025-03-25,39,Norte,Electronica,200,3,331.34,0,994.02,Online,58917
284432,2024-07-23,15,Sur,Juguetes,3496,4,223.41,10,804.28,Efectivo,6548
284433,2025-07-10,41,Norte,Hogar,3113,9,1500.77,0,13506.93,Efectivo,57263
284434,2026-11-18,38,Centro,Electronica,1069,2,1255.41,15,2134.2,Efectivo,99866
284435,2025-02-18,27,Centro,Hogar,516,7,1602.52,10,10095.88,Efectivo,16401
284436,2026-08-25,15,Centro,Juguetes,4658,7,1336.22,10,8418.19,Online,55080
284437,2025-12-02,24,Sur,Juguetes,1786,6,1260.81,15,6430.13,Efectivo,2043
284438,2025-01-01,45,Norte,Deportes,688,5,335.82,0,1679.1,Efectivo,92541
284439,2026-12-28,16,Centro,Electronica,1487,10,1937.27,0,19372.7,Tarjeta,93210
284440,2024-04-23,43,Norte,Deportes,2598,1,1980.5,15,1683.42,Efectivo,29243
284441,2025-01-26,37,Norte,Moda,2162,2,394.28,10,709.7,Efectivo,14943
284442,2026-09-25,19,Norte,Electronica,1999,6,420.71,5,2398.05,Online,53446
284443,2026-09-15,11,Norte,Hogar,4762,1,31.59,10,28.43,Efectivo,37386
284444,2024-10-17,23,Sur,Electronica,4134,1,687.29,0,687.29,Tarjeta,90091
284445,2026-09-12,42,Sur,Electronica,4220,10,1399.12,10,12592.08,Online,65657
284446,2024-12-31,36,Sur,Juguetes,1539,7,310.49,15,1847.42,Tarjeta,55472
284447,2026-06-21,48,Norte,Electronica,3630,5,1036.58,0,5182.9,Online,69910
284448,2025-08-30,19,Sur,Moda,3630,2,1354.99,15,2303.48,Efectivo,46318
284449,2026-11-12,11,Sur,Electronica,1351,2,1789.04,15,3041.37,Tarjeta,44399
284450,2024-06-17,18,Sur,Hogar,4196,4,436.03,0,1744.12,Online,16193
284451,2024-03-20,9,Norte,Hogar,1930,5,656.91,0,3284.55,Tarjeta,39558
284452,2024-09-12,20,Sur,Deportes,2113,9,1472.9,15,11267.68,Online,44874
284453,2024-07-02,37,Sur,Juguetes,3664,8,544.58,5,4138.81,Efectivo,33714
284454,2026-11-03,15,Norte,Electronica,3979,3,52.95,0,158.85,Efectivo,27459
284455,2026-02-03,6,Sur,Electronica,88,7,432.75,15,2574.86,Online,80815
284456,2024-06-28,11,Sur,Deportes,3641,1,714.97,0,714.97,Tarjeta,95934
284457,2026-05-08,43,Sur,Electronica,4730,7,1693.85,15,10078.41,Online,64190
284458,2025-08-30,19,Norte,Juguetes,3202,8,505.35,0,4042.8,Tarjeta,85129
284459,2026-05-16,6,Centro,Hogar,3766,9,946.87,5,8095.74,Efectivo,67938
284460,2024-03-09,15,Centro,Juguetes,3887,9,1563.7,5,13369.64,Online,32726
284461,2024-06-10,41,Centro,Deportes,4490,7,722.31,5,4803.36,Tarjeta,30732
284462,2025-12-26,35,Centro,Deportes,2869,6,1729.61,5,9858.78,Online,24758
284463,2025-08-05,14,Norte,Hogar,2405,4,1536.37,15,5223.66,Tarjeta,52059
284464,2026-04-04,5,Centro,Electronica,2913,7,624.18,15,3713.87,Online,28342
284465,2026-06-05,42,Sur,Moda,3075,6,1733.39,5,9880.32,Online,40141
284466,2024-09-11,44,Norte,Hogar,2050,2,256.59,10,461.86,Online,98638
284467,2025-02-16,6,Centro,Moda,4322,8,878.53,0,7028.24,Online,88336
284468,2026-07-31,16,Norte,Deportes,1595,5,409.76,10,1843.92,Tarjeta,57092
284469,2024-10-11,41,Centro,Electronica,1739,7,1296.7,10,8169.21,Online,443
284470,2024-10-30,38,Centro,Deportes,614,10,1313.79,5,12481.0,Efectivo,77767
284471,2025-02-23,45,Norte,Juguetes,1861,6,1918.78,0,11512.68,Efectivo,2634
284472,2026-01-03,5,Norte,Hogar,815,2,316.34,15,537.78,Efectivo,5253
284473,2024-05-23,42,Norte,Moda,37,10,1069.41,5,10159.4,Tarjeta,95321
284474,2026-04-22,3,Norte,Deportes,4162,10,1483.63,15,12610.86,Online,91712
284475,2026-09-10,17,Centro,Hogar,3525,1,1562.6,0,1562.6,Tarjeta,55288
284476,2025-10-18,17,Centro,Hogar,3804,9,833.51,15,6376.35,Tarjeta,87186
284477,2026-11-25,5,Sur,Electronica,1718,6,680.92,10,3676.97,Efectivo,26003
284478,2025-03-23,18,Sur,Juguetes,4253,10,1694.93,0,16949.3,Online,58000
284479,2024-08-26,25,Sur,Juguetes,1646,1,432.3,15,367.46,Efectivo,50635
284480,2025-04-13,11,Norte,Juguetes,1772,3,1706.07,0,5118.21,Efectivo,55837
284481,2026-06-14,40,Norte,Hogar,2836,10,1758.0,10,15822.0,Online,91675
284482,2025-09-20,27,Sur,Juguetes,3097,7,1678.65,0,11750.55,Tarjeta,71049
284483,2026-11-12,25,Sur,Juguetes,3564,7,1243.08,0,8701.56,Online,50152
284484,2024-03-17,16,Centro,Electronica,1746,2,1272.79,5,2418.3,Tarjeta,11378
284485,2025-06-30,37,Norte,Electronica,821,10,383.86,5,3646.67,Efectivo,76247
284486,2026-01-20,22,Centro,Electronica,4883,9,395.19,15,3023.2,Efectivo,20234
284487,2024-06-18,43,Sur,Hogar,1850,4,789.06,15,2682.8,Efectivo,92666
284488,2025-04-14,46,Sur,Hogar,3506,9,911.07,15,6969.69,Tarjeta,99205
284489,2025-01-25,11,Sur,Deportes,3829,7,1312.76,15,7810.92,Tarjeta,62885
284490,2025-03-05,49,Norte,Hogar,1388,2,1647.08,10,2964.74,Online,6288
284491,2026-10-06,5,Centro,Moda,2142,2,599.8,5,1139.62,Efectivo,51346
284492,2026-05-16,1,Centro,Hogar,4257,4,276.8,15,941.12,Tarjeta,53061
284493,2024-09-24,39,Centro,Juguetes,3902,5,216.93,10,976.18,Online,77200
284494,2024-09-12,28,Sur,Deportes,1139,3,1587.32,10,4285.76,Efectivo,95605
284495,2026-11-05,33,Norte,Moda,3372,7,999.23,15,5945.42,Efectivo,61857
